scenarios=0.0-removed=4=11,13
scenarios=0.1-removed=4=9,12
scenarios=0.2-removed=4=15,18
scenarios=0.2-removed=4=0,1
scenarios=1.0-removed=12=15,19
scenarios=1.1-removed=12=16,17
scenarios=1.2-removed=12=1,3
scenarios=1.2-removed=12=5,6
scenarios=1.2-removed=12=6,8
scenarios=1.2-removed=12=9,12
scenarios=1.2-removed=12=10,15
scenarios=1.2-removed=12=8,10
scenarios=1.2-removed=12=11,15
scenarios=2.0-removed=4=3,4
scenarios=2.1-removed=4=18,19
scenarios=2.2-removed=4=13,20
scenarios=2.2-removed=4=3,5
scenarios=3.0-removed=12=3,4
scenarios=3.1-removed=12=0,2
scenarios=3.2-removed=12=13,14
scenarios=3.2-removed=12=14,19
scenarios=3.2-removed=12=13,20
scenarios=3.2-removed=12=1,4
scenarios=3.2-removed=12=15,18
scenarios=3.2-removed=12=5,8
scenarios=3.2-removed=12=3,5
scenarios=3.2-removed=12=18,19
scenarios=3.2-removed=12=2,3
